strategy,strategy_type,activation_time,entry_time,exit_time,spot_price_at_entry,spot_price_at_exit,option_type,strike_price,strike_type,entry_premium,exit_premium,premium_change,lots,lot_size,investment,pnl,net_pnl,return_percentage,is_win,exit_reason,holding_minutes,signal_reason,entry_delta,entry_theta,entry_vega,entry_gamma,exit_delta,exit_theta,exit_vega,exit_gamma,delta_change,theta_change,vega_change,gamma_change,market_rsi,market_sma_20,market_volume,market_volume_sma,market_price_change,market_high_low_range,brokerage,risk_reward_ratio,max_profit_potential,max_loss_potential
BREAKOUT_REVERSAL_LOSING,RE-OPTIMIZED,2026-03-27 09:30:07.140822,2026-03-27 09:30:07.140822,2026-03-27 09:42:06.959141473,23280.17,23666.447097012024,CE,23800.0,OTM,307.52000000000044,341.8335262395208,34.31352623952034,1,50,15376.000000000022,1715.6763119760171,1675.6763119760171,11.158144588813832,True,TARGET_ACHIEVED,7.7698332595308734,Breakout re-optimized,0.5,-0.05,0.2,0.02,0.4976396145616845,-0.051920819011158664,0.20601752680825738,0.018944047288557354,-0.0023603854383155154,-0.0019208190111586615,0.006017526808257373,-0.0010559527114426467,85.61914276200005,23195.048125,925387.0,947519.4375,0.0010905270780539045,0.002102218325725385,40,3.1999999999999997,1230.0800000000017,384.40000000000055
MULTI_TIMEFRAME_LOSING,FROZEN,2026-03-27 09:45:07.140822,2026-03-27 09:45:07.140822,2026-03-27 09:50:19.323735260,23428.86,23493.61350899681,PE,23800.0,OTM,307.52000000000044,340.0259048502256,32.505904850225136,1,50,15376.000000000022,1625.2952425112567,1585.2952425112567,10.570338465864037,True,TARGET_ACHIEVED,9.170498198883296,Multi-timeframe frozen,0.5,-0.05,0.2,0.02,0.470678518520699,-0.04229927448837276,0.19230156215733596,0.022673989117428607,-0.029321481479301026,0.007700725511627246,-0.007698437842664052,0.0026739891174286066,73.0857668429518,23325.485999999997,648113.0,1043620.4,-0.0006735012038994181,0.0010905353482840937,40,3.1999999999999997,1230.0800000000017,384.40000000000055
AI_ENHANCED_LOSING,FROZEN,2026-03-27 09:45:07.140822,2026-03-27 09:45:07.140822,2026-03-27 09:52:08.749814336,23428.86,23584.37269568878,PE,23800.0,OTM,307.52000000000044,338.2859013200435,30.765901320043042,1,50,15376.000000000022,1538.295066002152,1498.295066002152,10.004520460471838,True,TARGET_ACHIEVED,6.916526026604412,AI enhanced frozen,0.5,-0.05,0.2,0.02,0.5308266554678487,-0.04096542446320157,0.2145184933526335,0.024142983180513,0.030826655467848685,0.009034575536798435,0.0145184933526335,0.004142983180513,73.0857668429518,23325.485999999997,648113.0,1043620.4,-0.0006735012038994181,0.0010905353482840937,40,3.1999999999999997,1230.0800000000017,384.40000000000055
RSI_DIVERGENCE_LOSING,FROZEN,2026-03-27 09:45:07.140822,2026-03-27 09:45:07.140822,2026-03-27 09:55:12.920521910,23428.86,23504.912003930924,PE,23800.0,OTM,307.52000000000044,333.2478407983809,25.72784079838044,1,50,15376.000000000022,1286.392039919022,1246.392039919022,8.366233350149715,True,TARGET_ACHIEVED,6.003879016797587,RSI frozen,0.5,-0.05,0.2,0.02,0.5458020601867628,-0.04457100993122814,0.19176137493542952,0.024248431852933003,0.045802060186762805,0.005428990068771865,-0.008238625064570487,0.0042484318529330024,73.0857668429518,23325.485999999997,648113.0,1043620.4,-0.0006735012038994181,0.0010905353482840937,40,3.1999999999999997,1230.0800000000017,384.40000000000055
STOCHASTIC_OVERSOLD_LOSING,FROZEN,2026-03-27 09:45:07.140822,2026-03-27 09:45:07.140822,2026-03-27 09:53:22.557936738,23428.86,23157.079980585684,PE,23800.0,OTM,307.52000000000044,341.92625571532875,34.406255715328314,1,50,15376.000000000022,1720.3127857664158,1680.3127857664158,11.188298554672302,True,TARGET_ACHIEVED,9.268133565663852,Stochastic frozen,0.5,-0.05,0.2,0.02,0.4945752138184758,-0.05514828847495634,0.18646286592572994,0.021682971341267874,-0.005424786181524199,-0.005148288474956339,-0.013537134074270069,0.0016829713412678735,73.0857668429518,23325.485999999997,648113.0,1043620.4,-0.0006735012038994181,0.0010905353482840937,40,3.1999999999999997,1230.0800000000017,384.40000000000055
TREND_FOLLOWING_OPTIMIZED,FROZEN,2026-03-27 09:45:07.140822,2026-03-27 09:45:07.140822,2026-03-27 09:52:25.803176186,23428.86,23200.972562861567,PE,23800.0,OTM,307.52000000000044,332.7861639301239,25.26616393012347,1,50,15376.000000000022,1263.3081965061733,1223.3081965061733,8.216104295695704,True,TARGET_ACHIEVED,11.266676060393113,Trend frozen,0.5,-0.05,0.2,0.02,0.4746349541714878,-0.05762690575218684,0.2102749162170974,0.021609032355628215,-0.025365045828512178,-0.007626905752186837,0.01027491621709739,0.0016090323556282142,73.0857668429518,23325.485999999997,648113.0,1043620.4,-0.0006735012038994181,0.0010905353482840937,40,3.1999999999999997,1230.0800000000017,384.40000000000055
MACD_DIVERGENCE_LOSING,RE-OPTIMIZED,2026-03-27 09:45:07.140822,2026-03-27 09:45:07.140822,2026-03-27 09:53:26.678963346,23428.86,23060.32164390798,PE,23800.0,OTM,307.52000000000044,332.96182970524035,25.44182970523991,1,50,15376.000000000022,1272.0914852619956,1232.0914852619956,8.273227661693507,True,TARGET_ACHIEVED,9.678229453245313,MACD re-optimized,0.5,-0.05,0.2,0.02,0.5486276060534234,-0.04225136279409334,0.18798214958449966,0.018247998611845888,0.04862760605342342,0.0077486372059066624,-0.012017850415500353,-0.0017520013881541126,73.0857668429518,23325.485999999997,648113.0,1043620.4,-0.0006735012038994181,0.0010905353482840937,40,3.1999999999999997,1230.0800000000017,384.40000000000055
MOMENTUM_REVERSAL_LOSING,RE-OPTIMIZED,2026-03-27 09:45:07.140822,2026-03-27 09:45:07.140822,2026-03-27 09:51:24.913449796,23428.86,23601.519144781276,PE,23800.0,OTM,307.52000000000044,332.82391441095876,25.303914410958328,1,50,15376.000000000022,1265.1957205479164,1225.1957205479164,8.22838007640423,True,TARGET_ACHIEVED,8.267043157685942,Momentum re-optimized,0.5,-0.05,0.2,0.02,0.4618892056214616,-0.051107871908582944,0.2192674781697632,0.019630135007270212,-0.038110794378538426,-0.0011078719085829414,0.01926747816976318,-0.00036986499272978826,73.0857668429518,23325.485999999997,648113.0,1043620.4,-0.0006735012038994181,0.0010905353482840937,40,3.1999999999999997,1230.0800000000017,384.40000000000055
BOLLINGER_SQUEEZE_LOSING,RE-OPTIMIZED,2026-03-27 09:45:07.140822,2026-03-27 09:45:07.140822,2026-03-27 09:54:57.424304381,23428.86,23510.719527954996,PE,23800.0,OTM,307.52000000000044,339.0302209624645,31.510220962464075,1,50,15376.000000000022,1575.5110481232036,1535.5110481232036,10.246559886337158,True,TARGET_ACHIEVED,8.262915923925455,Bollinger re-optimized,0.5,-0.05,0.2,0.02,0.5175907448716609,-0.05638945421022604,0.19380862350307398,0.018657976148498456,0.0175907448716609,-0.006389454210226034,-0.0061913764969260265,-0.001342023851501544,73.0857668429518,23325.485999999997,648113.0,1043620.4,-0.0006735012038994181,0.0010905353482840937,40,3.1999999999999997,1230.0800000000017,384.40000000000055
BREAKOUT_REVERSAL_LOSING,RE-OPTIMIZED,2026-03-27 09:45:07.140822,2026-03-27 09:45:07.140822,2026-03-27 09:54:40.639221712,23428.86,23471.606265826827,PE,23800.0,OTM,307.52000000000044,336.44576657028483,28.925766570284395,1,50,15376.000000000022,1446.2883285142198,1406.2883285142198,9.406141574624204,True,TARGET_ACHIEVED,7.567396613243631,Breakout re-optimized,0.5,-0.05,0.2,0.02,0.4868574861912917,-0.04708035528098824,0.20448828187838003,0.022157826219512858,-0.01314251380870829,0.002919644719011766,0.004488281878380018,0.0021578262195128574,73.0857668429518,23325.485999999997,648113.0,1043620.4,-0.0006735012038994181,0.0010905353482840937,40,3.1999999999999997,1230.0800000000017,384.40000000000055
MULTI_TIMEFRAME_LOSING,FROZEN,2026-03-27 10:00:07.140822,2026-03-27 10:00:07.140822,2026-03-27 10:11:48.314767974,23590.39,23191.06124802491,CE,23800.0,OTM,307.52000000000044,332.9940851220942,25.474085122093754,1,50,15376.000000000022,1273.7042561046878,1233.7042561046878,8.28371654594619,True,TARGET_ACHIEVED,11.61208753068974,Multi-timeframe frozen,0.5,-0.05,0.2,0.02,0.5214056249755233,-0.05475018385223465,0.1876305669086102,0.018688118631986595,0.02140562497552334,-0.004750183852234649,-0.012369433091389798,-0.0013118813680134053,89.44698122780343,23501.6455,1060293.0,914996.15,0.00019460862044118343,0.0009249529151489106,40,3.1999999999999997,1230.0800000000017,384.40000000000055
AI_ENHANCED_LOSING,FROZEN,2026-03-27 10:00:07.140822,2026-03-27 10:00:07.140822,2026-03-27 10:11:43.940297942,23590.39,23300.39815952986,CE,23800.0,OTM,307.52000000000044,303.04796977240306,-4.472030227597372,1,50,15376.000000000022,-223.6015113798686,-263.6015113798686,-1.4542241895152725,False,STOP_LOSS,7.5143156331468255,AI enhanced frozen,0.5,-0.05,0.2,0.02,0.5204214118662984,-0.04942140168168864,0.21450264731413213,0.021685811615774965,0.020421411866298422,0.000578598318311363,0.014502647314132117,0.0016858116157749646,89.44698122780343,23501.6455,1060293.0,914996.15,0.00019460862044118343,0.0009249529151489106,40,3.1999999999999997,1230.0800000000017,384.40000000000055
RSI_DIVERGENCE_LOSING,FROZEN,2026-03-27 10:00:07.140822,2026-03-27 10:00:07.140822,2026-03-27 10:08:38.242977770,23590.39,23311.570965759696,CE,23800.0,OTM,307.52000000000044,333.42429916940756,25.904299169407125,1,50,15376.000000000022,1295.2149584703561,1255.2149584703561,8.423614454151627,True,TARGET_ACHIEVED,9.262675705884147,RSI frozen,0.5,-0.05,0.2,0.02,0.514466127487058,-0.04078609743034225,0.19423199400589267,0.01759656843748803,0.014466127487058,0.009213902569657755,-0.005768005994107345,-0.002403431562511972,89.44698122780343,23501.6455,1060293.0,914996.15,0.00019460862044118343,0.0009249529151489106,40,3.1999999999999997,1230.0800000000017,384.40000000000055
STOCHASTIC_OVERSOLD_LOSING,FROZEN,2026-03-27 10:00:07.140822,2026-03-27 10:00:07.140822,2026-03-27 10:06:34.160784897,23590.39,23383.765101208282,CE,23800.0,OTM,307.52000000000044,331.14029713256735,23.620297132566918,1,50,15376.000000000022,1181.014856628346,1141.014856628346,7.680897870891938,True,TARGET_ACHIEVED,10.743426889351271,Stochastic frozen,0.5,-0.05,0.2,0.02,0.5178205582501305,-0.04553046300352247,0.20197213607344447,0.024492132221012507,0.017820558250130514,0.0044695369964775356,0.001972136073444458,0.004492132221012506,89.44698122780343,23501.6455,1060293.0,914996.15,0.00019460862044118343,0.0009249529151489106,40,3.1999999999999997,1230.0800000000017,384.40000000000055
TREND_FOLLOWING_OPTIMIZED,FROZEN,2026-03-27 10:00:07.140822,2026-03-27 10:00:07.140822,2026-03-27 10:09:25.069473865,23590.39,23207.70556181473,CE,23800.0,OTM,307.52000000000044,339.3832982457288,31.863298245728345,1,50,15376.000000000022,1593.1649122864173,1553.1649122864173,10.3613742994694,True,TARGET_ACHIEVED,8.805633533622082,Trend frozen,0.5,-0.05,0.2,0.02,0.4883187808778927,-0.04666282794990186,0.19992139230931855,0.016821612062897354,-0.01168121912210729,0.0033371720500981403,-7.860769068146478e-05,-0.0031783879371026467,89.44698122780343,23501.6455,1060293.0,914996.15,0.00019460862044118343,0.0009249529151489106,40,3.1999999999999997,1230.0800000000017,384.40000000000055
HIGH_VOLUME_LOSING,FROZEN,2026-03-27 10:00:07.140822,2026-03-27 10:00:07.140822,2026-03-27 10:08:00.475722955,23590.39,23900.091756798858,CE,23800.0,OTM,307.52000000000044,339.74497960306104,32.2249796030606,1,50,15376.000000000022,1611.24898015303,1571.24898015303,10.478986603492636,True,TARGET_ACHIEVED,8.39158010807615,High volume frozen,0.5,-0.05,0.2,0.02,0.5002051010448197,-0.04146140796517087,0.1918362992705422,0.017875168189231024,0.00020510104481974434,0.00853859203482913,-0.008163700729457823,-0.002124831810768977,89.44698122780343,23501.6455,1060293.0,914996.15,0.00019460862044118343,0.0009249529151489106,40,3.1999999999999997,1230.0800000000017,384.40000000000055
BOLLINGER_SQUEEZE_LOSING,RE-OPTIMIZED,2026-03-27 10:00:07.140822,2026-03-27 10:00:07.140822,2026-03-27 10:11:12.679753088,23590.39,23424.519618657825,CE,23800.0,OTM,307.52000000000044,335.39939717524,27.879397175239546,1,50,15376.000000000022,1393.9698587619773,1353.9698587619773,9.065880975299006,True,TARGET_ACHIEVED,5.841069187470333,Bollinger re-optimized,0.5,-0.05,0.2,0.02,0.5263294427361481,-0.05731156471123714,0.21217518959613527,0.019328281838060835,0.026329442736148123,-0.007311564711237138,0.012175189596135255,-0.0006717181619391652,89.44698122780343,23501.6455,1060293.0,914996.15,0.00019460862044118343,0.0009249529151489106,40,3.1999999999999997,1230.0800000000017,384.40000000000055
BREAKOUT_REVERSAL_LOSING,RE-OPTIMIZED,2026-03-27 10:00:07.140822,2026-03-27 10:00:07.140822,2026-03-27 10:07:52.540205958,23590.39,23393.987918642408,CE,23800.0,OTM,307.52000000000044,334.20270377330763,26.682703773307196,1,50,15376.000000000022,1334.1351886653597,1294.1351886653597,8.67673769943651,True,TARGET_ACHIEVED,9.484420338865467,Breakout re-optimized,0.5,-0.05,0.2,0.02,0.455563194878882,-0.058787581637881725,0.19886875345648,0.020317648713738177,-0.04443680512111797,-0.008787581637881722,-0.0011312465435200092,0.00031764871373817644,89.44698122780343,23501.6455,1060293.0,914996.15,0.00019460862044118343,0.0009249529151489106,40,3.1999999999999997,1230.0800000000017,384.40000000000055
MULTI_TIMEFRAME_LOSING,FROZEN,2026-03-27 10:15:07.140822,2026-03-27 10:15:07.140822,2026-03-27 10:20:38.882717971,23633.07,23649.302318123373,CE,23800.0,OTM,307.52000000000044,304.19735433079035,-3.3226456692100896,1,50,15376.000000000022,-166.13228346050448,-206.13228346050448,-1.0804649028388673,False,STOP_LOSS,6.732302705245044,Multi-timeframe frozen,0.5,-0.05,0.2,0.02,0.48335442400916706,-0.042257278249718984,0.18089193836305723,0.024937904218519217,-0.01664557599083294,0.007742721750281019,-0.019108061636942786,0.0049379042185192165,69.41435922567995,23599.385,793449.0,932086.15,0.0004728662808664019,0.0043489906305021935,40,3.1999999999999997,1230.0800000000017,384.40000000000055
AI_ENHANCED_LOSING,FROZEN,2026-03-27 10:15:07.140822,2026-03-27 10:15:07.140822,2026-03-27 10:22:55.232540016,23633.07,23205.3259172042,CE,23800.0,OTM,307.52000000000044,336.6007237510359,29.080723751035464,1,50,15376.000000000022,1454.0361875517733,1414.0361875517733,9.456530876377284,True,TARGET_ACHIEVED,6.229727384969088,AI enhanced frozen,0.5,-0.05,0.2,0.02,0.5241310386931344,-0.057299565472806346,0.19695029877868378,0.01923783982813005,0.024131038693134377,-0.007299565472806344,-0.003049701221316231,-0.0007621601718699501,69.41435922567995,23599.385,793449.0,932086.15,0.0004728662808664019,0.0043489906305021935,40,3.1999999999999997,1230.0800000000017,384.40000000000055
RSI_DIVERGENCE_LOSING,FROZEN,2026-03-27 10:15:07.140822,2026-03-27 10:15:07.140822,2026-03-27 10:20:10.201155085,23633.07,23213.621930511767,CE,23800.0,OTM,307.52000000000044,341.7756406381018,34.25564063810134,1,50,15376.000000000022,1712.782031905067,1672.782031905067,11.139321227270191,True,TARGET_ACHIEVED,11.3021078856029,RSI frozen,0.5,-0.05,0.2,0.02,0.4896198718553588,-0.05517212721780683,0.1870492734579567,0.018791792356186596,-0.010380128144641176,-0.005172127217806827,-0.012950726542043323,-0.0012082076438134047,69.41435922567995,23599.385,793449.0,932086.15,0.0004728662808664019,0.0043489906305021935,40,3.1999999999999997,1230.0800000000017,384.40000000000055
STOCHASTIC_OVERSOLD_LOSING,FROZEN,2026-03-27 10:15:07.140822,2026-03-27 10:15:07.140822,2026-03-27 10:22:48.324655015,23633.07,23676.265795988722,CE,23800.0,OTM,307.52000000000044,337.82000764756606,30.30000764756562,1,50,15376.000000000022,1515.000382378281,1475.000382378281,9.853020176757797,True,TARGET_ACHIEVED,6.585919611807683,Stochastic frozen,0.5,-0.05,0.2,0.02,0.480800399640312,-0.05268101550857113,0.18920008010196848,0.016125807602208456,-0.019199600359687985,-0.0026810155085711246,-0.01079991989803153,-0.0038741923977915448,69.41435922567995,23599.385,793449.0,932086.15,0.0004728662808664019,0.0043489906305021935,40,3.1999999999999997,1230.0800000000017,384.40000000000055
TREND_FOLLOWING_OPTIMIZED,FROZEN,2026-03-27 10:15:07.140822,2026-03-27 10:15:07.140822,2026-03-27 10:21:04.085111175,23633.07,23259.129465970058,CE,23800.0,OTM,307.52000000000044,335.0719206451006,27.551920645100154,1,50,15376.000000000022,1377.5960322550077,1337.5960322550077,8.95939146888011,True,TARGET_ACHIEVED,8.77894237353982,Trend frozen,0.5,-0.05,0.2,0.02,0.5389185405834549,-0.04613246856580987,0.1840526105437049,0.02103179823554216,0.0389185405834549,0.0038675314341901357,-0.01594738945629512,0.0010317982355421591,69.41435922567995,23599.385,793449.0,932086.15,0.0004728662808664019,0.0043489906305021935,40,3.1999999999999997,1230.0800000000017,384.40000000000055
MULTI_TIMEFRAME_LOSING,FROZEN,2026-03-27 10:30:07.140822,2026-03-27 10:30:07.140822,2026-03-27 10:41:49.634779251,23672.85,23520.290588878237,CE,23800.0,OTM,307.52000000000044,339.70799063285085,32.187990632850415,1,50,15376.000000000022,1609.3995316425207,1569.3995316425207,10.466958452409719,True,TARGET_ACHIEVED,7.246929479744219,Multi-timeframe frozen,0.5,-0.05,0.2,0.02,0.5156803235429213,-0.05820473154112891,0.18557698618553928,0.019589382358889643,0.01568032354292126,-0.008204731541128905,-0.014423013814460733,-0.0004106176411103578,61.360727996587514,23630.869,682399.0,840918.65,0.0017061228738521894,0.0026705698722376547,40,3.1999999999999997,1230.0800000000017,384.40000000000055
AI_ENHANCED_LOSING,FROZEN,2026-03-27 10:30:07.140822,2026-03-27 10:30:07.140822,2026-03-27 10:38:57.033387742,23672.85,23709.36025836059,CE,23800.0,OTM,307.52000000000044,329.97871373431747,22.45871373431703,1,50,15376.000000000022,1122.9356867158515,1082.9356867158515,7.303171739827327,True,TARGET_ACHIEVED,6.457037001659669,AI enhanced frozen,0.5,-0.05,0.2,0.02,0.4546437264183236,-0.054109005911160045,0.18228477885145425,0.019932363812780407,-0.045356273581676376,-0.004109005911160042,-0.017715221148545762,-6.763618721959339e-05,61.360727996587514,23630.869,682399.0,840918.65,0.0017061228738521894,0.0026705698722376547,40,3.1999999999999997,1230.0800000000017,384.40000000000055
RSI_DIVERGENCE_LOSING,FROZEN,2026-03-27 10:30:07.140822,2026-03-27 10:30:07.140822,2026-03-27 10:36:29.716586820,23672.85,23562.75517825492,CE,23800.0,OTM,307.52000000000044,334.9447665361045,27.424766536104073,1,50,15376.000000000022,1371.2383268052035,1331.2383268052035,8.918043228441737,True,TARGET_ACHIEVED,7.242333796908664,RSI frozen,0.5,-0.05,0.2,0.02,0.464882474372177,-0.056325294880839,0.20946760918641097,0.024378758251641007,-0.035117525627823,-0.006325294880838994,0.009467609186410958,0.004378758251641007,61.360727996587514,23630.869,682399.0,840918.65,0.0017061228738521894,0.0026705698722376547,40,3.1999999999999997,1230.0800000000017,384.40000000000055
TREND_FOLLOWING_OPTIMIZED,FROZEN,2026-03-27 10:30:07.140822,2026-03-27 10:30:07.140822,2026-03-27 10:37:07.287557525,23672.85,23883.02450356935,CE,23800.0,OTM,307.52000000000044,338.44867188033663,30.928671880336196,1,50,15376.000000000022,1546.4335940168098,1506.4335940168098,10.057450533407957,True,TARGET_ACHIEVED,10.272066251522254,Trend frozen,0.5,-0.05,0.2,0.02,0.46366921977666703,-0.05530623514226524,0.21531233795649712,0.02091527388047094,-0.03633078022333297,-0.005306235142265241,0.015312337956497113,0.0009152738804709404,61.360727996587514,23630.869,682399.0,840918.65,0.0017061228738521894,0.0026705698722376547,40,3.1999999999999997,1230.0800000000017,384.40000000000055
