strategy,action,entry_time,entry_price,strike,option_type,premium,delta,theta,gamma,vega,confidence,reason,position_size,broker_charges,status,exit_time,exit_price,exit_reason,gross_pnl,net_pnl,pnl
multi_signal_momentum,BUY,2026-03-27 11:37:07.140822,24100.35,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-27 11:58:07.140822,24187.65,Time Exit,3055.500000000102,2975.500000000102,2975.500000000102
multi_signal_momentum,BUY,2026-03-27 11:43:07.140822,24163.78,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-27 12:04:07.140822,24279.69,Time Exit,4056.849999999995,3976.849999999995,3976.849999999995
multi_signal_momentum,BUY,2026-03-27 12:00:07.140822,24189.78,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.555347781118631,Positive momentum,27,40,CLOSED,2026-03-27 12:21:07.140822,24380.49,Time Exit,5149.170000000075,5069.170000000075,5069.170000000075
multi_signal_momentum,BUY,2026-03-27 12:06:07.140822,24293.02,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-27 12:27:07.140822,24365.89,Time Exit,2550.4499999999643,2470.4499999999643,2470.4499999999643
multi_signal_momentum,BUY,2026-03-27 12:11:07.140822,24317.99,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.4424983109698585,ROC momentum,22,40,CLOSED,2026-03-27 12:32:07.140822,24382.92,Time Exit,1428.4599999999264,1348.4599999999264,1348.4599999999264
multi_signal_momentum,BUY,2026-03-27 12:20:07.140822,24373.02,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.5972453077158321,Positive momentum,29,40,CLOSED,2026-03-27 12:41:07.140822,24439.38,Time Exit,1924.4400000000169,1844.4400000000169,1844.4400000000169
multi_signal_momentum,BUY,2026-03-27 12:46:07.140822,24475.09,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-27 13:07:07.140822,24514.08,Time Exit,1364.650000000056,1284.650000000056,1284.650000000056
multi_signal_momentum,BUY,2026-03-27 12:59:07.140822,24526.24,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.4317153877302268,ROC momentum,21,40,CLOSED,2026-03-27 13:20:07.140822,24554.95,Time Exit,602.9099999999817,522.9099999999817,522.9099999999817
multi_signal_momentum,BUY,2026-03-27 13:04:07.140822,24555.66,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6187980189412686,Positive momentum,30,40,CLOSED,2026-03-27 13:25:07.140822,24558.96,Time Exit,98.99999999997817,18.999999999978172,18.999999999978172
multi_signal_momentum,BUY,2026-03-27 13:24:07.140822,24597.98,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6415367392988532,Positive momentum,32,40,CLOSED,2026-03-27 13:45:07.140822,24576.83,Time Exit,-676.7999999999302,-756.7999999999302,-756.7999999999302
multi_signal_momentum,BUY,2026-03-27 13:37:07.140822,24538.07,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.5369952457711765,Positive momentum,26,40,CLOSED,2026-03-27 13:58:07.140822,24686.65,Time Exit,3863.0800000000454,3783.0800000000454,3783.0800000000454
multi_signal_momentum,BUY,2026-03-27 13:53:07.140822,24671.52,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.43512279963896916,ROC momentum,21,40,CLOSED,2026-03-27 14:14:07.140822,24735.32,Time Exit,1339.7999999999847,1259.7999999999847,1259.7999999999847
multi_signal_momentum,BUY,2026-03-27 14:00:07.140822,24686.54,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6202393687310345,Positive momentum,31,40,CLOSED,2026-03-27 14:21:07.140822,24763.64,Time Exit,2390.099999999955,2310.099999999955,2310.099999999955
multi_signal_momentum,BUY,2026-03-27 14:06:07.140822,24726.72,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6644201429677473,Positive momentum,33,40,CLOSED,2026-03-27 14:27:07.140822,24792.01,Time Exit,2154.5699999999088,2074.5699999999088,2074.5699999999088
multi_signal_momentum,BUY,2026-03-27 14:21:07.140822,24763.64,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6981365352735521,Positive momentum,34,40,CLOSED,2026-03-27 14:42:07.140822,24741.56,Time Exit,-750.7199999999357,-830.7199999999357,-830.7199999999357
multi_signal_momentum,BUY,2026-03-27 14:46:07.140822,24742.1,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6771369700231619,Positive momentum,33,40,CLOSED,2026-03-27 15:07:07.140822,24733.18,Time Exit,-294.3599999999424,-374.3599999999424,-374.3599999999424
multi_signal_momentum,BUY,2026-03-27 14:51:07.140822,24814.17,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-27 15:12:07.140822,24824.4,Time Exit,358.05000000011205,278.05000000011205,278.05000000011205
multi_signal_momentum,BUY,2026-03-27 15:13:07.140822,24850.45,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-30 09:15:00.000000,23076.68,Stop Loss,-62081.95000000001,-62161.95000000001,-62161.95000000001
multi_signal_momentum,BUY,2026-03-27 15:19:07.140822,24887.61,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-30 09:15:00.000000,23076.68,Stop Loss,-63382.55000000001,-63462.55000000001,-63462.55000000001
multi_signal_momentum,BUY,2026-03-30 09:24:00.000000,23124.23,23150,ce,5.0,0.4874,-0.4762,0.0107,0.2237,0.6056613642203775,Positive momentum,30,40,CLOSED,2026-03-30 09:45:00.000000,23246.91,Time Exit,3680.4000000000087,3600.4000000000087,3600.4000000000087
multi_signal_momentum,BUY,2026-03-30 09:33:00.000000,23170.13,23200,ce,7.28,0.5398,-0.5196,0.0093,0.1853,0.43138850176403365,ROC momentum,21,40,CLOSED,2026-03-30 09:54:00.000000,23301.16,Time Exit,2751.6299999999756,2671.6299999999756,2671.6299999999756
multi_signal_momentum,BUY,2026-03-30 09:38:00.000000,23209.79,23250,ce,15.71,0.5149,-0.4232,0.009,0.2097,0.7,Positive momentum,35,40,CLOSED,2026-03-30 09:59:00.000000,23321.51,Time Exit,3910.1999999999134,3830.1999999999134,3830.1999999999134
multi_signal_momentum,BUY,2026-03-30 09:45:00.000000,23246.91,23250,ce,15.71,0.5149,-0.4232,0.009,0.2097,0.4311719649082387,ROC momentum,21,40,CLOSED,2026-03-30 10:06:00.000000,23456.93,Time Exit,4410.420000000009,4330.420000000009,4330.420000000009
multi_signal_momentum,BUY,2026-03-30 09:50:00.000000,23288.1,23300,ce,14.11,0.6207,-0.4682,0.0106,0.1986,0.7,Positive momentum,35,40,CLOSED,2026-03-30 10:11:00.000000,23474.31,Time Exit,6517.350000000097,6437.350000000097,6437.350000000097
multi_signal_momentum,BUY,2026-03-30 09:55:00.000000,23310.46,23350,ce,14.16,0.5057,-0.497,0.0099,0.1943,0.6733696650436546,Positive momentum,33,40,CLOSED,2026-03-30 10:16:00.000000,23538.14,Time Exit,7513.44000000001,7433.44000000001,7433.44000000001
multi_signal_momentum,BUY,2026-03-30 10:02:00.000000,23362.38,23400,ce,9.0,0.4362,-0.4861,0.0101,0.176,0.7,Positive momentum,35,40,CLOSED,2026-03-30 10:23:00.000000,23636.69,Time Exit,9600.849999999919,9520.849999999919,9520.849999999919
multi_signal_momentum,BUY,2026-03-30 10:07:00.000000,23464.66,23500,ce,5.0,0.4449,-0.5647,0.0115,0.2303,0.46627147452314743,ROC momentum,23,40,CLOSED,2026-03-30 10:28:00.000000,23605.02,Time Exit,3228.2800000000134,3148.2800000000134,3148.2800000000134
multi_signal_momentum,BUY,2026-03-30 10:19:00.000000,23567.0,23600,ce,17.23,0.4768,-0.5425,0.011,0.1727,0.7,Positive momentum,35,40,CLOSED,2026-03-30 10:40:00.000000,23567.81,Time Exit,28.35000000004584,-51.64999999995416,-51.64999999995416
multi_signal_momentum,BUY,2026-03-30 10:24:00.000000,23653.68,23700,ce,5.0,0.4517,-0.4641,0.0095,0.2271,0.7,Positive momentum,35,40,CLOSED,2026-03-30 10:45:00.000000,23527.53,Time Exit,-4415.250000000051,-4495.250000000051,-4495.250000000051
multi_signal_momentum,BUY,2026-03-30 10:54:00.000000,23538.2,23550,ce,5.0,0.5088,-0.5384,0.0091,0.2329,0.5110918302421604,Positive momentum,25,40,CLOSED,2026-03-30 11:15:00.000000,23546.44,Time Exit,205.99999999994907,125.99999999994907,125.99999999994907
multi_signal_momentum,BUY,2026-03-30 10:59:00.000000,23572.4,23600,ce,17.23,0.4768,-0.5425,0.011,0.1727,0.6565489739742244,Positive momentum,32,40,CLOSED,2026-03-30 11:20:00.000000,23559.6,Time Exit,-409.60000000009313,-489.60000000009313,-489.60000000009313
multi_signal_momentum,BUY,2026-03-30 11:19:00.000000,23594.03,23600,ce,17.23,0.4768,-0.5425,0.011,0.1727,0.6683707536649705,Positive momentum,33,40,CLOSED,2026-03-30 11:40:00.000000,23692.27,Time Exit,3241.920000000053,3161.920000000053,3161.920000000053
multi_signal_momentum,BUY,2026-03-30 11:25:00.000000,23590.67,23600,ce,17.23,0.4768,-0.5425,0.011,0.1727,0.5878415590637062,Positive momentum,29,40,CLOSED,2026-03-30 11:46:00.000000,23740.41,Time Exit,4342.460000000046,4262.460000000046,4262.460000000046
multi_signal_momentum,BUY,2026-03-30 11:32:00.000000,23705.98,23750,ce,10.27,0.5047,-0.5444,0.0112,0.2151,0.7,Positive momentum,35,40,CLOSED,2026-03-30 11:53:00.000000,23788.26,Time Exit,2879.7999999999593,2799.7999999999593,2799.7999999999593
multi_signal_momentum,BUY,2026-03-30 11:39:00.000000,23726.44,23750,ce,10.27,0.5047,-0.5444,0.0112,0.2151,0.6373018981194575,Positive momentum,31,40,CLOSED,2026-03-30 12:00:00.000000,23767.89,Time Exit,1284.9500000000226,1204.9500000000226,1204.9500000000226
multi_signal_momentum,BUY,2026-03-30 11:44:00.000000,23763.09,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6506361881361885,Positive momentum,32,40,CLOSED,2026-03-30 12:05:00.000000,23787.75,Time Exit,789.1199999999953,709.1199999999953,709.1199999999953
multi_signal_momentum,BUY,2026-03-30 11:54:00.000000,23792.9,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6588968398910208,Positive momentum,32,40,CLOSED,2026-03-30 12:15:00.000000,23756.61,Time Exit,-1161.280000000028,-1241.280000000028,-1241.280000000028
multi_signal_momentum,BUY,2026-03-30 12:09:00.000000,23829.45,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.53236434230679,Positive momentum,26,40,CLOSED,2026-03-30 12:30:00.000000,23951.77,Time Exit,3180.3199999999924,3100.3199999999924,3100.3199999999924
multi_signal_momentum,BUY,2026-03-30 12:23:00.000000,23835.85,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6181722471783498,Positive momentum,30,40,CLOSED,2026-03-30 12:44:00.000000,24042.34,Time Exit,6194.700000000048,6114.700000000048,6114.700000000048
multi_signal_momentum,BUY,2026-03-30 12:28:00.000000,23960.39,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-30 12:49:00.000000,24034.78,Time Exit,2603.6499999999796,2523.6499999999796,2523.6499999999796
multi_signal_momentum,BUY,2026-03-30 12:35:00.000000,23967.35,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.5439859540573574,Positive momentum,27,40,CLOSED,2026-03-30 12:56:00.000000,24056.27,Time Exit,2400.840000000051,2320.840000000051,2320.840000000051
multi_signal_momentum,BUY,2026-03-30 12:43:00.000000,24032.79,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-30 13:04:00.000000,24085.47,Time Exit,1843.8000000000102,1763.8000000000102,1763.8000000000102
multi_signal_momentum,BUY,2026-03-30 12:57:00.000000,24065.72,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6665222327538741,Positive momentum,33,40,CLOSED,2026-03-30 13:18:00.000000,24057.14,Time Exit,-283.1400000000576,-363.1400000000576,-363.1400000000576
multi_signal_momentum,BUY,2026-03-30 13:04:00.000000,24085.47,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.5399062524166661,Positive momentum,26,40,CLOSED,2026-03-30 13:25:00.000000,24169.29,Time Exit,2179.3199999999924,2099.3199999999924,2099.3199999999924
multi_signal_momentum,BUY,2026-03-30 13:20:00.000000,24115.34,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.62334341855903,Positive momentum,31,40,CLOSED,2026-03-30 13:41:00.000000,24239.56,Time Exit,3850.820000000036,3770.820000000036,3770.820000000036
multi_signal_momentum,BUY,2026-03-30 13:25:00.000000,24169.29,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-30 13:46:00.000000,24263.99,Time Exit,3314.5000000000255,3234.5000000000255,3234.5000000000255
multi_signal_momentum,BUY,2026-03-30 13:30:00.000000,24214.1,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-30 13:51:00.000000,24160.66,Time Exit,-1870.3999999999542,-1950.3999999999542,-1950.3999999999542
multi_signal_momentum,BUY,2026-03-30 13:39:00.000000,24284.07,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-30 14:00:00.000000,24103.03,Time Exit,-6336.400000000031,-6416.400000000031,-6416.400000000031
multi_signal_momentum,BUY,2026-03-30 14:06:00.000000,24212.56,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-30 14:27:00.000000,24326.9,Time Exit,4001.900000000005,3921.900000000005,3921.900000000005
multi_signal_momentum,BUY,2026-03-30 14:11:00.000000,24244.98,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-30 14:32:00.000000,24333.33,Time Exit,3092.2500000000764,3012.2500000000764,3012.2500000000764
multi_signal_momentum,BUY,2026-03-30 14:16:00.000000,24286.64,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.43059569083153415,ROC momentum,21,40,CLOSED,2026-03-30 14:37:00.000000,24350.92,Time Exit,1349.8799999999756,1269.8799999999756,1269.8799999999756
multi_signal_momentum,BUY,2026-03-30 14:21:00.000000,24287.02,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.5733967196508424,Positive momentum,28,40,CLOSED,2026-03-30 14:42:00.000000,24379.23,Time Exit,2581.8799999999756,2501.8799999999756,2501.8799999999756
multi_signal_momentum,BUY,2026-03-30 14:38:00.000000,24373.46,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.5687050316840688,Positive momentum,28,40,CLOSED,2026-03-30 14:59:00.000000,24442.06,Time Exit,1920.8000000000611,1840.8000000000611,1840.8000000000611
multi_signal_momentum,BUY,2026-03-30 14:56:00.000000,24467.96,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-30 15:17:00.000000,24512.23,Time Exit,1549.4500000000153,1469.4500000000153,1469.4500000000153
multi_signal_momentum,BUY,2026-03-30 15:01:00.000000,24489.71,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6679712711869398,Positive momentum,33,40,CLOSED,2026-03-30 15:22:00.000000,24566.07,Time Exit,2519.880000000019,2439.880000000019,2439.880000000019
multi_signal_momentum,BUY,2026-03-30 15:07:00.000000,24514.25,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.5988096761127212,Positive momentum,29,40,CLOSED,2026-03-31 09:15:00.000000,22644.45,Stop Loss,-54224.19999999998,-54304.19999999998,-54304.19999999998
multi_signal_momentum,BUY,2026-03-30 15:18:00.000000,24531.59,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6023523356908363,Positive momentum,30,40,CLOSED,2026-03-31 09:15:00.000000,22644.45,Stop Loss,-56614.19999999998,-56694.19999999998,-56694.19999999998
multi_signal_momentum,BUY,2026-03-30 15:25:00.000000,24622.12,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-31 09:15:00.000000,22644.45,Stop Loss,-69218.44999999994,-69298.44999999994,-69298.44999999994
multi_signal_momentum,BUY,2026-03-31 09:25:00.000000,22705.93,22750,ce,10.0,0.5455,-0.5909,0.0092,0.1822,0.6715014054216258,Positive momentum,33,40,CLOSED,2026-03-31 09:46:00.000000,22903.17,Time Exit,6508.919999999933,6428.919999999933,6428.919999999933
multi_signal_momentum,BUY,2026-03-31 09:30:00.000000,22750.97,22800,ce,10.0,0.4956,-0.5223,0.0096,0.2148,0.7,Positive momentum,35,40,CLOSED,2026-03-31 09:51:00.000000,22903.54,Time Exit,5339.94999999999,5259.94999999999,5259.94999999999
multi_signal_momentum,BUY,2026-03-31 09:47:00.000000,22896.03,22900,ce,5.0,0.5013,-0.4595,0.0096,0.2126,0.7,Positive momentum,35,40,CLOSED,2026-03-31 10:08:00.000000,22915.72,Time Exit,689.1500000000815,609.1500000000815,609.1500000000815
multi_signal_momentum,BUY,2026-03-31 09:53:00.000000,22900.68,22950,ce,5.0,0.4707,-0.5054,0.0093,0.2014,0.43233470028961574,ROC momentum,21,40,CLOSED,2026-03-31 10:14:00.000000,22922.15,Time Exit,450.87000000002445,370.87000000002445,370.87000000002445
multi_signal_momentum,BUY,2026-03-31 10:15:00.000000,22958.67,23000,ce,5.0,0.4732,-0.5163,0.0096,0.2091,0.7,Positive momentum,35,40,CLOSED,2026-03-31 10:36:00.000000,23062.76,Time Exit,3643.150000000005,3563.150000000005,3563.150000000005
multi_signal_momentum,BUY,2026-03-31 10:21:00.000000,22985.91,23000,ce,5.0,0.4732,-0.5163,0.0096,0.2091,0.6537538604999279,Positive momentum,32,40,CLOSED,2026-03-31 10:42:00.000000,23191.23,Time Exit,6570.239999999991,6490.239999999991,6490.239999999991
multi_signal_momentum,BUY,2026-03-31 10:29:00.000000,22997.44,23000,ce,5.0,0.4732,-0.5163,0.0096,0.2091,0.5622809577276785,Positive momentum,28,40,CLOSED,2026-03-31 10:50:00.000000,23235.38,Time Exit,6662.320000000065,6582.320000000065,6582.320000000065
multi_signal_momentum,BUY,2026-03-31 10:34:00.000000,23023.42,23050,ce,5.0,0.5291,-0.4788,0.0117,0.2132,0.6754333807487575,Positive momentum,33,40,CLOSED,2026-03-31 10:55:00.000000,23220.25,Time Exit,6495.390000000058,6415.390000000058,6415.390000000058
multi_signal_momentum,BUY,2026-03-31 10:40:00.000000,23167.9,23200,ce,7.28,0.5398,-0.5196,0.0093,0.1853,0.7,Positive momentum,35,40,CLOSED,2026-03-31 11:01:00.000000,23177.31,Time Exit,329.3499999999949,249.3499999999949,249.3499999999949
multi_signal_momentum,BUY,2026-03-31 10:47:00.000000,23204.81,23250,ce,15.71,0.5149,-0.4232,0.009,0.2097,0.46024054598441133,ROC momentum,23,40,CLOSED,2026-03-31 11:08:00.000000,23116.62,Time Exit,-2028.3700000000536,-2108.3700000000536,-2108.3700000000536
multi_signal_momentum,BUY,2026-03-31 11:12:00.000000,23178.75,23200,ce,7.28,0.5398,-0.5196,0.0093,0.1853,0.6207743185765665,Positive momentum,31,40,CLOSED,2026-03-31 11:33:00.000000,23275.59,Time Exit,3002.0400000000045,2922.0400000000045,2922.0400000000045
multi_signal_momentum,BUY,2026-03-31 11:20:00.000000,23231.9,23250,ce,15.71,0.5149,-0.4232,0.009,0.2097,0.7,Positive momentum,35,40,CLOSED,2026-03-31 11:41:00.000000,23249.22,Time Exit,606.1999999999898,526.1999999999898,526.1999999999898
multi_signal_momentum,BUY,2026-03-31 11:25:00.000000,23266.74,23300,ce,14.11,0.6207,-0.4682,0.0106,0.1986,0.670254779019008,Positive momentum,33,40,CLOSED,2026-03-31 11:46:00.000000,23278.22,Time Exit,378.8399999999856,298.8399999999856,298.8399999999856
multi_signal_momentum,BUY,2026-03-31 11:44:00.000000,23282.24,23300,ce,14.11,0.6207,-0.4682,0.0106,0.1986,0.604650890543423,Positive momentum,30,40,CLOSED,2026-03-31 12:05:00.000000,23341.94,Time Exit,1790.9999999999127,1710.9999999999127,1710.9999999999127
multi_signal_momentum,BUY,2026-03-31 11:50:00.000000,23295.2,23300,ce,14.11,0.6207,-0.4682,0.0106,0.1986,0.6120373003250853,Positive momentum,30,40,CLOSED,2026-03-31 12:11:00.000000,23338.94,Time Exit,1312.1999999999389,1232.1999999999389,1232.1999999999389
multi_signal_momentum,BUY,2026-03-31 11:56:00.000000,23338.49,23350,ce,14.16,0.5057,-0.497,0.0099,0.1943,0.6589115490789329,Positive momentum,32,40,CLOSED,2026-03-31 12:17:00.000000,23282.94,Time Exit,-1777.6000000000931,-1857.6000000000931,-1857.6000000000931
multi_signal_momentum,BUY,2026-03-31 12:22:00.000000,23361.82,23400,ce,9.0,0.4362,-0.4861,0.0101,0.176,0.7,Positive momentum,35,40,CLOSED,2026-03-31 12:43:00.000000,23478.01,Time Exit,4066.649999999954,3986.649999999954,3986.649999999954
multi_signal_momentum,BUY,2026-03-31 12:32:00.000000,23375.08,23400,ce,9.0,0.4362,-0.4861,0.0101,0.176,0.5194147478070118,Positive momentum,25,40,CLOSED,2026-03-31 12:53:00.000000,23575.36,Time Exit,5006.999999999971,4926.999999999971,4926.999999999971
multi_signal_momentum,BUY,2026-03-31 12:41:00.000000,23458.32,23500,ce,5.0,0.4449,-0.5647,0.0115,0.2303,0.7,Positive momentum,35,40,CLOSED,2026-03-31 13:02:00.000000,23666.75,Time Exit,7295.05000000001,7215.05000000001,7215.05000000001
multi_signal_momentum,BUY,2026-03-31 12:49:00.000000,23506.97,23550,ce,5.0,0.5088,-0.5384,0.0091,0.2329,0.7,Positive momentum,35,40,CLOSED,2026-03-31 13:10:00.000000,23745.53,Time Exit,8349.599999999919,8269.599999999919,8269.599999999919
multi_signal_momentum,BUY,2026-03-31 12:54:00.000000,23572.12,23600,ce,17.23,0.4768,-0.5425,0.011,0.1727,0.7,Positive momentum,35,40,CLOSED,2026-03-31 13:15:00.000000,23739.93,Time Exit,5873.350000000046,5793.350000000046,5793.350000000046
multi_signal_momentum,BUY,2026-03-31 13:02:00.000000,23666.75,23700,ce,5.0,0.4517,-0.4641,0.0095,0.2271,0.7,Positive momentum,35,40,CLOSED,2026-03-31 13:23:00.000000,23796.4,Time Exit,4537.750000000051,4457.750000000051,4457.750000000051
multi_signal_momentum,BUY,2026-03-31 13:10:00.000000,23745.53,23750,ce,10.27,0.5047,-0.5444,0.0112,0.2151,0.7,Positive momentum,35,40,CLOSED,2026-03-31 13:31:00.000000,23780.33,Time Exit,1218.0000000001019,1138.0000000001019,1138.0000000001019
multi_signal_momentum,BUY,2026-03-31 13:16:00.000000,23764.08,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.5366529508062042,Positive momentum,26,40,CLOSED,2026-03-31 13:37:00.000000,23833.94,Time Exit,1816.3599999999205,1736.3599999999205,1736.3599999999205
multi_signal_momentum,BUY,2026-03-31 13:22:00.000000,23807.53,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6553175361836635,Positive momentum,32,40,CLOSED,2026-03-31 13:43:00.000000,23834.15,Time Exit,851.8400000000838,771.8400000000838,771.8400000000838
multi_signal_momentum,BUY,2026-03-31 13:33:00.000000,23811.61,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.6023268428554159,Positive momentum,30,40,CLOSED,2026-03-31 13:54:00.000000,23890.21,Time Exit,2357.9999999999563,2277.9999999999563,2277.9999999999563
multi_signal_momentum,BUY,2026-03-31 13:39:00.000000,23864.95,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.7,Positive momentum,35,40,CLOSED,2026-03-31 14:00:00.000000,23932.34,Time Exit,2358.6499999999796,2278.6499999999796,2278.6499999999796
multi_signal_momentum,BUY,2026-03-31 13:47:00.000000,23855.5,23800,ce,13.31,0.5644,-0.4078,0.0108,0.2369,0.5121333110633449,Positive momentum,25,40,CLOSED,2026-03-31 14:08:00.000000,24061.71,Time Exit,5155.249999999978,5075.249999999978,5075.249999999978
