2026-02-27 10:33:11,164 | INFO     | ENHANCED_DAY_HIGH_LOW | TESTING_COMPLETE | Tests: 3/16 passed, Status: CRITICAL_ISSUES | Data: {"total_tests": 16, "passed_tests": 3, "failed_tests": 4, "error_tests": 9, "overall_status": "CRITICAL_ISSUES"}
2026-02-27 11:39:35,497 | INFO     | RSI_OVERSOLD | TESTING_COMPLETE | Tests: 7/16 passed, Status: CRITICAL_ISSUES | Data: {"total_tests": 16, "passed_tests": 7, "failed_tests": 1, "error_tests": 8, "overall_status": "CRITICAL_ISSUES"}
2026-02-27 11:44:48,391 | INFO     | ENHANCED_DAY_HIGH_LOW | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 11:48:20,595 | INFO     | RSI_OVERSOLD | TESTING_COMPLETE | Tests: 15/16 passed, Status: CRITICAL_ISSUES | Data: {"total_tests": 16, "passed_tests": 15, "failed_tests": 0, "error_tests": 1, "overall_status": "CRITICAL_ISSUES"}
2026-02-27 11:52:11,936 | INFO     | ENHANCED_DAY_HIGH_LOW | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 11:55:22,452 | INFO     | RSI_OVERSOLD | TESTING_COMPLETE | Tests: 15/16 passed, Status: CRITICAL_ISSUES | Data: {"total_tests": 16, "passed_tests": 15, "failed_tests": 0, "error_tests": 1, "overall_status": "CRITICAL_ISSUES"}
2026-02-27 11:59:16,350 | INFO     | ENHANCED_DAY_HIGH_LOW | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 12:02:35,375 | INFO     | RSI_OVERSOLD | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 15:09:52,466 | INFO     | ENHANCED_DAY_HIGH_LOW | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 15:13:21,122 | INFO     | RSI_OVERSOLD | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 15:13:21,363 | INFO     | RSI_OVERBOUGHT | TESTING_COMPLETE | Tests: 0/16 passed, Status: CRITICAL_ISSUES | Data: {"total_tests": 16, "passed_tests": 0, "failed_tests": 0, "error_tests": 16, "overall_status": "CRITICAL_ISSUES"}
2026-02-27 15:19:45,462 | INFO     | ENHANCED_DAY_HIGH_LOW | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 15:22:52,394 | INFO     | RSI_OVERSOLD | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 15:23:17,285 | INFO     | RSI_OVERBOUGHT | TESTING_COMPLETE | Tests: 4/16 passed, Status: CRITICAL_ISSUES | Data: {"total_tests": 16, "passed_tests": 4, "failed_tests": 3, "error_tests": 9, "overall_status": "CRITICAL_ISSUES"}
2026-02-27 15:27:31,693 | INFO     | ENHANCED_DAY_HIGH_LOW | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 15:30:51,502 | INFO     | RSI_OVERSOLD | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 15:34:14,356 | INFO     | RSI_OVERBOUGHT | TESTING_COMPLETE | Tests: 15/16 passed, Status: NEEDS_FIXES | Data: {"total_tests": 16, "passed_tests": 15, "failed_tests": 1, "error_tests": 0, "overall_status": "NEEDS_FIXES"}
2026-02-27 15:56:02,786 | INFO     | ENHANCED_DAY_HIGH_LOW | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 15:59:19,732 | INFO     | RSI_OVERSOLD | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 16:02:34,841 | INFO     | RSI_OVERBOUGHT | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 16:44:33,396 | INFO     | ENHANCED_DAY_HIGH_LOW | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 16:47:39,499 | INFO     | RSI_OVERSOLD | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 16:50:42,832 | INFO     | RSI_OVERBOUGHT | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 16:54:04,300 | INFO     | STRONG_MOMENTUM_BULL | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 17:44:21,113 | INFO     | ENHANCED_DAY_HIGH_LOW | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 17:47:45,742 | INFO     | RSI_OVERSOLD | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 17:51:28,217 | INFO     | RSI_OVERBOUGHT | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 17:55:23,478 | INFO     | STRONG_MOMENTUM_BULL | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 17:59:05,125 | INFO     | STRONG_MOMENTUM_BEAR | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 18:11:47,319 | INFO     | ENHANCED_DAY_HIGH_LOW | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 18:14:54,088 | INFO     | RSI_OVERSOLD | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 18:18:14,499 | INFO     | RSI_OVERBOUGHT | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 18:21:34,543 | INFO     | STRONG_MOMENTUM_BULL | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 18:24:50,503 | INFO     | STRONG_MOMENTUM_BEAR | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 18:24:50,724 | INFO     | HIGH_VOLUME_BULL | TESTING_COMPLETE | Tests: 0/16 passed, Status: CRITICAL_ISSUES | Data: {"total_tests": 16, "passed_tests": 0, "failed_tests": 0, "error_tests": 16, "overall_status": "CRITICAL_ISSUES"}
2026-02-27 19:01:41,136 | INFO     | ENHANCED_DAY_HIGH_LOW | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 19:05:14,085 | INFO     | RSI_OVERSOLD | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 19:08:31,615 | INFO     | RSI_OVERBOUGHT | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 19:11:43,918 | INFO     | STRONG_MOMENTUM_BULL | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 19:15:08,738 | INFO     | STRONG_MOMENTUM_BEAR | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 19:15:36,429 | INFO     | HIGH_VOLUME_BULL | TESTING_COMPLETE | Tests: 0/16 passed, Status: CRITICAL_ISSUES | Data: {"total_tests": 16, "passed_tests": 0, "failed_tests": 0, "error_tests": 16, "overall_status": "CRITICAL_ISSUES"}
2026-02-27 19:36:01,257 | INFO     | ENHANCED_DAY_HIGH_LOW | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 19:39:11,708 | INFO     | RSI_OVERSOLD | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 19:42:22,930 | INFO     | RSI_OVERBOUGHT | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 19:45:34,564 | INFO     | STRONG_MOMENTUM_BULL | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 19:49:00,273 | INFO     | STRONG_MOMENTUM_BEAR | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 19:52:15,632 | INFO     | HIGH_VOLUME_BULL | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 20:01:29,387 | INFO     | ENHANCED_DAY_HIGH_LOW | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 20:04:53,890 | INFO     | RSI_OVERSOLD | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 20:08:15,432 | INFO     | RSI_OVERBOUGHT | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 20:11:37,569 | INFO     | STRONG_MOMENTUM_BULL | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 20:14:57,007 | INFO     | STRONG_MOMENTUM_BEAR | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 20:18:19,606 | INFO     | HIGH_VOLUME_BULL | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 20:21:34,214 | INFO     | HIGH_VOLUME_BEAR | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 21:10:25,653 | INFO     | ENHANCED_DAY_HIGH_LOW | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 21:13:31,501 | INFO     | RSI_OVERSOLD | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 21:16:36,843 | INFO     | RSI_OVERBOUGHT | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 21:19:47,929 | INFO     | STRONG_MOMENTUM_BULL | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 21:23:01,815 | INFO     | STRONG_MOMENTUM_BEAR | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 21:26:20,435 | INFO     | HIGH_VOLUME_BULL | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 21:29:37,456 | INFO     | HIGH_VOLUME_BEAR | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 21:29:37,680 | INFO     | CANDLE_BREAKOUT | TESTING_COMPLETE | Tests: 0/16 passed, Status: CRITICAL_ISSUES | Data: {"total_tests": 16, "passed_tests": 0, "failed_tests": 0, "error_tests": 16, "overall_status": "CRITICAL_ISSUES"}
2026-02-27 23:36:26,044 | INFO     | ENHANCED_DAY_HIGH_LOW | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 23:39:20,655 | INFO     | RSI_OVERSOLD | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 23:42:18,033 | INFO     | RSI_OVERBOUGHT | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 23:45:14,852 | INFO     | STRONG_MOMENTUM_BULL | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 23:48:18,850 | INFO     | STRONG_MOMENTUM_BEAR | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 23:51:28,160 | INFO     | HIGH_VOLUME_BULL | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 23:54:38,123 | INFO     | HIGH_VOLUME_BEAR | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-27 23:55:02,631 | INFO     | CANDLE_BREAKOUT | TESTING_COMPLETE | Tests: 0/16 passed, Status: CRITICAL_ISSUES | Data: {"total_tests": 16, "passed_tests": 0, "failed_tests": 0, "error_tests": 16, "overall_status": "CRITICAL_ISSUES"}
2026-02-27 23:59:39,972 | INFO     | ENHANCED_DAY_HIGH_LOW | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-28 00:02:46,678 | INFO     | RSI_OVERSOLD | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-28 00:05:50,100 | INFO     | RSI_OVERBOUGHT | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-28 00:08:53,376 | INFO     | STRONG_MOMENTUM_BULL | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-28 00:12:03,597 | INFO     | STRONG_MOMENTUM_BEAR | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-28 00:15:20,720 | INFO     | HIGH_VOLUME_BULL | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-28 00:18:22,679 | INFO     | HIGH_VOLUME_BEAR | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
2026-02-28 00:21:30,517 | INFO     | CANDLE_BREAKOUT | TESTING_COMPLETE | Tests: 16/16 passed, Status: READY | Data: {"total_tests": 16, "passed_tests": 16, "failed_tests": 0, "error_tests": 0, "overall_status": "READY"}
